               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069041,            0.030179,                   0,             0.38928,              0.5605,             0.33483,             0.11555,             0.05971,            0.033434,                   0,            0.070882,           0.0032353,           0.0032353
                   1,            0.058648,            0.022125,                   0,             0.69166,             0.62885,             0.63715,               0.219,            0.052376,             0.02304,                   0,            0.040817,           0.0065036,           0.0065036
                   2,            0.056279,            0.022324,                   0,             0.74964,             0.67837,             0.69057,             0.23584,            0.051879,            0.022489,                   0,            0.010686,           0.0097059,           0.0097059
                   3,            0.057149,            0.019213,                   0,             0.72293,             0.68654,             0.69439,             0.22085,            0.054533,            0.019868,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.057073,            0.019514,                   0,             0.80944,             0.72837,             0.76226,             0.26597,            0.046878,            0.020988,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.052847,            0.018014,                   0,             0.79426,             0.69231,             0.74932,             0.26539,             0.04676,            0.020582,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.053318,            0.017612,                   0,             0.78689,             0.71184,             0.76151,             0.27664,            0.046179,            0.019329,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.052537,            0.017587,                   0,             0.82947,             0.77173,              0.7991,               0.289,            0.045166,            0.018234,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.052067,            0.018213,                   0,             0.82932,               0.775,             0.81565,             0.30407,            0.046147,            0.018007,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.049035,            0.016881,                   0,             0.86739,             0.77675,             0.83121,             0.31081,            0.045048,            0.017914,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.050761,            0.017922,                   0,              0.8339,              0.7774,             0.79928,             0.29503,            0.043692,            0.017929,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.050012,            0.016149,                   0,             0.82677,             0.78474,             0.81307,             0.30884,            0.042927,            0.018051,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.048487,            0.016117,                   0,             0.82341,             0.77596,             0.82006,             0.30573,            0.043082,            0.017845,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.049815,            0.016955,                   0,             0.85204,             0.81394,             0.84881,             0.33631,            0.041407,             0.01754,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.049126,            0.016215,                   0,             0.85778,             0.80612,             0.84566,             0.33697,            0.040955,            0.017309,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.048443,            0.016646,                   0,             0.84953,             0.81432,             0.85232,             0.33805,            0.040804,            0.017337,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.047536,            0.017367,                   0,             0.86687,             0.82837,             0.87103,             0.34936,            0.040128,            0.017133,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.046812,            0.016124,                   0,             0.84343,             0.82099,             0.84624,             0.34726,            0.038564,            0.016938,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.047058,            0.017491,                   0,             0.86184,             0.82404,             0.85591,             0.33921,             0.03891,            0.016888,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.045545,            0.016132,                   0,             0.86711,             0.83462,              0.8688,             0.34424,            0.041097,            0.017202,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044915,            0.015733,                   0,             0.87023,             0.81891,             0.85989,             0.33587,            0.039088,            0.016817,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.044757,            0.016016,                   0,             0.88841,             0.82596,             0.87361,             0.36247,             0.03788,            0.016667,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.043963,            0.015186,                   0,              0.8789,             0.83894,             0.87876,             0.36812,            0.037207,            0.016428,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.044657,            0.016322,                   0,             0.87308,                0.85,             0.88584,             0.36629,            0.036526,            0.016366,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.044427,            0.016518,                   0,              0.8692,             0.85096,             0.88137,             0.35123,            0.042233,            0.016316,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.044757,            0.016057,                   0,             0.86388,             0.84279,             0.86369,              0.3665,            0.036544,            0.016338,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.044382,            0.016467,                   0,              0.8783,             0.87115,             0.88585,             0.37892,             0.03625,            0.016124,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.042683,            0.015188,                   0,             0.88283,             0.84765,             0.88082,             0.38059,            0.035399,            0.016103,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.043284,            0.015213,                   0,             0.88881,             0.86587,             0.89598,             0.38416,            0.035435,            0.016156,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.04359,            0.016006,                   0,              0.8769,              0.8524,             0.88512,             0.37617,            0.035761,            0.015867,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.043994,            0.015296,                   0,              0.8966,             0.85876,             0.89399,             0.38539,            0.034258,            0.015915,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.043934,            0.015052,                   0,             0.89655,             0.87502,             0.90609,             0.38633,            0.035036,            0.016108,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.042285,            0.014955,                   0,             0.89396,             0.87546,             0.90874,             0.39596,            0.035098,             0.01593,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.042319,            0.014929,                   0,             0.89247,             0.87019,             0.90239,             0.39138,            0.034051,            0.015895,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.042702,            0.015565,                   0,             0.89025,             0.85913,              0.8896,             0.37238,            0.036321,            0.016141,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.042597,            0.015271,                   0,             0.88236,             0.84663,             0.88668,             0.36409,            0.036241,            0.016016,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.042528,            0.014562,                   0,             0.88378,             0.86284,             0.89309,             0.38947,            0.034462,            0.015866,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.040887,            0.015033,                   0,             0.89711,             0.85937,             0.89804,             0.40682,            0.033492,            0.015659,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.041643,            0.015341,                   0,             0.89562,             0.88029,             0.90533,             0.40824,            0.033589,            0.015549,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.04002,            0.015618,                   0,              0.8918,             0.87837,             0.90034,             0.40164,            0.032833,            0.015584,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.040717,            0.014888,                   0,             0.88751,             0.87998,             0.90145,             0.40584,            0.032913,            0.015589,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.041109,            0.015577,                   0,             0.88685,             0.87043,             0.89134,             0.39349,            0.033195,            0.015713,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.03983,            0.013819,                   0,             0.90182,              0.8744,             0.90564,             0.40915,            0.032867,            0.015585,                   0,            0.005941,            0.005941,            0.005941
